location,total_sqft,bath,price,bhk,price_per_sqft
8th Phase JP Nagar,1230.0,2.0,43.5,3,3536.59
8th Phase JP Nagar,1455.0,3.0,73.31,3,5038.49
8th Phase JP Nagar,871.0,2.0,55.0,2,6314.58
8th Phase JP Nagar,1098.0,2.0,43.91,2,3999.09
8th Phase JP Nagar,1800.0,3.0,80.0,3,4444.44
8th Phase JP Nagar,2700.0,4.0,130.0,4,4814.81
8th Phase JP Nagar,1080.0,2.0,38.0,2,3518.52
8th Phase JP Nagar,1059.0,2.0,34.5,2,3257.79
8th Phase JP Nagar,1080.0,2.0,35.0,2,3240.74
8th Phase JP Nagar,1275.0,2.0,41.5,3,3254.9
8th Phase JP Nagar,1062.0,2.0,42.47,2,3999.06
8th Phase JP Nagar,500.0,1.0,31.0,1,6200.0
8th Phase JP Nagar,1100.0,2.0,35.0,2,3181.82
8th Phase JP Nagar,2100.0,4.0,92.0,4,4380.95
8th Phase JP Nagar,1035.0,2.0,39.33,2,3800.0
8th Phase JP Nagar,909.0,2.0,40.9,2,4499.45
8th Phase JP Nagar,1431.5,3.0,72.02,3,5031.09
8th Phase JP Nagar,1900.0,4.0,90.0,3,4736.84
8th Phase JP Nagar,500.0,1.0,30.0,1,6000.0
8th Phase JP Nagar,1125.0,2.0,36.94,2,3283.56
8th Phase JP Nagar,1100.0,2.0,35.0,2,3181.82
8th Phase JP Nagar,1089.0,2.0,43.55,2,3999.08
8th Phase JP Nagar,1605.0,2.0,65.0,3,4049.84
8th Phase JP Nagar,1504.0,2.0,83.0,3,5518.62
8th Phase JP Nagar,2600.0,4.0,115.0,4,4423.08
8th Phase JP Nagar,1368.0,2.0,54.71,3,3999.27
8th Phase JP Nagar,1089.0,2.0,43.55,2,3999.08
8th Phase JP Nagar,1224.0,2.0,48.95,3,3999.18
8th Phase JP Nagar,1513.0,2.0,62.0,2,4097.82
8th Phase JP Nagar,1298.0,2.0,59.0,2,4545.45
8th Phase JP Nagar,1006.0,2.0,44.0,2,4373.76
8th Phase JP Nagar,500.0,1.0,33.0,1,6600.0
8th Phase JP Nagar,1160.0,2.0,95.0,2,8189.66
8th Phase JP Nagar,1245.0,2.0,59.0,2,4738.96
8th Phase JP Nagar,1510.0,2.0,80.0,2,5298.01
8th Phase JP Nagar,3300.0,3.0,165.0,3,5000.0
8th Phase JP Nagar,1730.0,5.0,75.0,5,4335.26
8th Phase JP Nagar,1296.0,2.0,51.83,3,3999.23
8th Phase JP Nagar,1275.0,3.0,45.0,3,3529.41
8th Phase JP Nagar,1046.0,2.0,48.0,2,4588.91
8th Phase JP Nagar,1269.0,2.0,50.75,3,3999.21
8th Phase JP Nagar,1408.0,3.0,80.0,3,5681.82
8th Phase JP Nagar,1500.0,2.0,55.0,3,3666.67
8th block Koramangala,1846.0,3.0,300.0,3,16251.35
8th block Koramangala,1410.0,1.0,233.0,2,16524.82
8th block Koramangala,1165.0,2.0,135.0,2,11587.98
8th block Koramangala,2400.0,3.0,290.0,3,12083.33
9th Block Jayanagar,700.0,1.0,150.0,1,21428.57
9th Phase JP Nagar,1005.0,2.0,50.0,2,4975.12
9th Phase JP Nagar,1890.0,2.0,85.0,3,4497.35
9th Phase JP Nagar,1100.0,2.0,65.0,2,5909.09
9th Phase JP Nagar,1080.0,2.0,37.0,2,3425.93
9th Phase JP Nagar,1035.0,2.0,45.0,2,4347.83
9th Phase JP Nagar,5000.0,4.0,290.0,4,5800.0
9th Phase JP Nagar,1164.0,2.0,56.0,2,4811.0
9th Phase JP Nagar,1005.0,2.0,42.0,2,4179.1
9th Phase JP Nagar,1127.0,2.0,50.0,2,4436.56
9th Phase JP Nagar,1005.0,2.0,43.0,2,4278.61
9th Phase JP Nagar,835.0,2.0,37.0,2,4431.14
9th Phase JP Nagar,1050.0,2.0,39.0,2,3714.29
9th Phase JP Nagar,660.0,2.0,27.0,2,4090.91
9th Phase JP Nagar,600.0,1.0,20.0,1,3333.33
9th Phase JP Nagar,1466.0,2.0,71.0,2,4843.11
9th Phase JP Nagar,1079.0,2.0,60.0,2,5560.7
9th Phase JP Nagar,1480.0,2.0,80.0,2,5405.41
9th Phase JP Nagar,1200.0,2.0,80.0,2,6666.67
9th Phase JP Nagar,905.0,2.0,32.0,2,3535.91
9th Phase JP Nagar,1073.0,2.0,52.36,2,4879.78
9th Phase JP Nagar,1719.3,2.0,88.0,3,5118.36
9th Phase JP Nagar,1780.0,3.0,88.0,3,4943.82
9th Phase JP Nagar,1300.0,2.0,58.0,3,4461.54
9th Phase JP Nagar,1522.0,3.0,90.0,3,5913.27
9th Phase JP Nagar,1571.0,3.0,65.0,3,4137.49
9th Phase JP Nagar,1900.0,4.0,80.0,4,4210.53
9th Phase JP Nagar,890.0,2.0,45.0,2,5056.18
9th Phase JP Nagar,1240.0,2.0,39.89,3,3216.94
9th Phase JP Nagar,1240.0,2.0,42.85,3,3455.65
9th Phase JP Nagar,1050.0,2.0,35.0,2,3333.33
9th Phase JP Nagar,1331.95,2.0,69.0,2,5180.37
A Narayanapura,600.0,2.0,35.0,1,5833.33
A Narayanapura,1500.0,2.0,85.0,1,5666.67
AECS Layout,1100.0,2.0,45.0,2,4090.91
AECS Layout,1028.0,2.0,42.0,2,4085.6
AECS Layout,1199.0,2.0,65.0,2,5421.18
AECS Layout,1080.0,2.0,55.0,2,5092.59
AECS Layout,1123.0,2.0,64.0,2,5699.02
AECS Layout,1308.0,2.0,60.0,2,4587.16
AECS Layout,1005.0,2.0,55.0,2,5472.64
AECS Layout,2000.0,3.0,90.0,3,4500.0
AGS Layout,1450.0,2.0,85.0,3,5862.07
AGS Layout,1040.0,2.0,46.79,2,4499.04
AGS Layout,1936.0,3.0,110.0,3,5681.82
AGS Layout,1075.0,2.0,48.38,2,4500.47
AMS Layout,1650.0,2.0,80.0,3,4848.48
AMS Layout,1200.0,4.0,80.0,3,6666.67
Abbaiah Reddy Layout,1310.0,2.0,50.0,3,3816.79
Abbaiah Reddy Layout,1100.0,2.0,38.45,2,3495.45
Abbaiah Reddy Layout,1100.0,2.0,38.49,2,3499.09
Abbaiah Reddy Layout,1190.0,2.0,41.0,2,3445.38
Abbaiah Reddy Layout,1100.0,2.0,38.5,2,3500.0
Abbigere,985.0,2.0,40.39,2,4100.51
Abbigere,2200.0,6.0,68.0,6,3090.91
Abbigere,765.0,2.0,30.0,1,3921.57
Abbigere,880.0,2.0,35.0,2,3977.27
Abbigere,795.0,2.0,32.54,2,4093.08
Abbigere,1005.0,2.0,39.59,2,3939.3
Abbigere,734.0,1.0,19.82,1,2700.27
Abbigere,1260.0,2.0,45.0,3,3571.43
Abbigere,1020.0,2.0,41.82,2,4100.0
Abbigere,985.0,2.0,40.39,2,4100.51
Abbigere,2500.0,6.0,81.0,6,3240.0
Abbigere,795.0,2.0,32.54,2,4093.08
Abbigere,1130.0,2.0,46.33,2,4100.0
Abbigere,795.0,1.0,32.6,2,4100.63
Abbigere,3000.0,8.0,150.0,8,5000.0
Abbigere,985.0,2.0,38.92,2,3951.27
Abbigere,1000.0,2.0,41.0,2,4100.0
Abbigere,995.0,2.0,40.8,2,4100.5
Abbigere,1020.0,2.0,40.8,2,4000.0
Agrahara Dasarahalli,800.0,1.0,72.0,1,9000.0
Agrahara Dasarahalli,1350.0,1.0,120.0,3,8888.89
Aishwarya Crystal Layout,2250.0,3.0,113.0,3,5022.22
Akshaya Nagar,1388.0,2.0,57.0,2,4106.63
Akshaya Nagar,1070.0,2.0,54.0,2,5046.73
Akshaya Nagar,1662.0,3.0,85.1,3,5120.34
Akshaya Nagar,1897.0,3.0,120.0,3,6325.78
Akshaya Nagar,1410.0,2.0,75.0,3,5319.15
Akshaya Nagar,1360.0,2.0,85.0,3,6250.0
Akshaya Nagar,1600.0,2.0,65.0,3,4062.5
Akshaya Nagar,1410.0,2.0,80.0,3,5673.76
Akshaya Nagar,1662.0,3.0,85.0,3,5114.32
Akshaya Nagar,1662.0,3.0,85.5,3,5144.4
Akshaya Nagar,1280.0,2.0,60.0,2,4687.5
Akshaya Nagar,1430.0,2.0,75.0,3,5244.76
Akshaya Nagar,1419.0,2.0,73.0,3,5144.47
Akshaya Nagar,1280.0,2.0,60.0,2,4687.5
Akshaya Nagar,1200.0,2.0,50.0,2,4166.67
Akshaya Nagar,1092.0,2.0,60.0,2,5494.51
Akshaya Nagar,1690.0,3.0,85.0,3,5029.59
Akshaya Nagar,1700.0,3.0,80.0,3,4705.88
Akshaya Nagar,1897.0,4.0,93.0,3,4902.48
Akshaya Nagar,1884.0,3.0,98.0,3,5201.7
Akshaya Nagar,1551.0,2.0,60.0,3,3868.47
Akshaya Nagar,1314.0,2.0,68.8,2,5235.92
Akshaya Nagar,1690.0,3.0,85.0,3,5029.59
Akshaya Nagar,1265.0,2.0,67.0,2,5296.44
Akshaya Nagar,1126.0,2.0,55.0,2,4884.55
Akshaya Nagar,2300.0,4.0,102.0,3,4434.78
Akshaya Nagar,1420.0,2.0,75.0,3,5281.69
Akshaya Nagar,1412.0,2.0,88.0,3,6232.29
Akshaya Nagar,1434.0,3.0,84.0,3,5857.74
Akshaya Nagar,1890.0,4.0,100.0,3,5291.01
Akshaya Nagar,2650.0,3.0,125.0,3,4716.98
Akshaya Nagar,1419.0,2.0,87.0,3,6131.08
Akshaya Nagar,1300.0,2.0,54.0,2,4153.85
Akshaya Nagar,1690.0,3.0,85.0,3,5029.59
Akshaya Nagar,1113.0,2.0,52.0,2,4672.06
Akshaya Nagar,1820.0,4.0,95.0,3,5219.78
Akshaya Nagar,1100.0,2.0,48.0,2,4363.64
Akshaya Nagar,1896.0,3.0,102.0,3,5379.75
Akshaya Nagar,1300.0,2.0,66.0,2,5076.92
Akshaya Nagar,1225.0,2.0,68.0,2,5551.02
Akshaya Nagar,1179.0,2.0,51.0,2,4325.7
Akshaya Nagar,1421.0,2.0,73.0,3,5137.23
Akshaya Nagar,1893.0,4.0,95.0,3,5018.49
Akshaya Nagar,900.0,2.0,45.0,2,5000.0
Akshaya Vana,4000.0,4.0,170.0,4,4250.0
Akshaya Vana,1300.0,2.0,49.0,3,3769.23
Akshaya Vana,1280.0,2.0,49.0,3,3828.12
Akshaya Vana,1141.0,2.0,55.0,2,4820.33
Akshaya Vana,1260.0,2.0,49.0,3,3888.89
Akshaya Vana,1427.0,2.0,52.0,2,3644.01
Akshayanagara East,1693.0,3.0,108.0,3,6379.21
Akshayanagara East,1210.0,2.0,76.0,2,6280.99
Akshayanagara East,1519.0,3.0,67.23,3,4425.94
Akshayanagara East,1595.0,3.0,70.39,3,4413.17
Akshayanagara East,1230.0,2.0,50.0,2,4065.04
Akshayanagara East,595.0,1.0,40.0,1,6722.69
Akshayanagara East,1145.0,2.0,44.0,2,3842.79
Akshayanagara West,1410.0,2.0,75.0,2,5319.15
Akshya Nagar,2400.0,6.0,130.0,6,5416.67
Akshya Nagar,1380.0,2.0,75.0,2,5434.78
Akshya Nagar,1320.0,2.0,58.0,3,4393.94
